name,time,index,rank,value,lastValue,age
Batman (1989),1998-12-01,40,3,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1998-12-01,40,4,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1998-12-01,40,5,82825878.6039085,82825878.6039085,0
Independence Day (1996),1998-12-01,40,6,80235152.9797109,80235152.9797109,0.6
Men in Black (1997),1998-12-01,40,7,80215980.8488257,80215980.8488257,0.8
Mission: Impossible (1996),1998-12-01,40,8,73692913.0238673,73692913.0238673,0.5
The Lion King (1994),1998-12-01,40,9,70261343.6694523,70261343.6694523,0.1
Godzilla (1998),1998-12-01,40,10,68762865.1724079,68762865.1724079,0.9
Batman and Robin (1997),1998-12-01,40,11,68014898.9734082,68014898.9734082,0.7
Twister (1996),1998-12-01,40,12,66593271.6141672,66593271.6141672,0.5
The Lost World: Jurassic Park (1997),1999-06-01,41,1,114434475.918727,114434475.918727,0.6
Star Wars: Episode I - The Phantom Menace (1999),1999-06-01,41,2,99241686.0455422,0,1
Batman Forever (1995),1999-06-01,41,3,88025315.4729921,88025315.4729921,0.2
Austin Powers: The Spy Who Shagged Me (1999),1999-06-01,41,4,84079513.3818795,0,1
Batman (1989),1999-06-01,41,5,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1999-06-01,41,6,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1999-06-01,41,7,82825878.6039085,82825878.6039085,0
Independence Day (1996),1999-06-01,41,8,80235152.9797109,80235152.9797109,0.5
Men in Black (1997),1999-06-01,41,9,80215980.8488257,80215980.8488257,0.7
Mission: Impossible (1996),1999-06-01,41,10,73692913.0238673,73692913.0238673,0.4
The Lion King (1994),1999-06-01,41,11,70261343.6694523,70261343.6694523,0
Godzilla (1998),1999-06-01,41,12,68762865.1724079,68762865.1724079,0.8
The Lost World: Jurassic Park (1997),1999-12-01,42,1,114434475.918727,114434475.918727,0.5
Star Wars: Episode I - The Phantom Menace (1999),1999-12-01,42,2,99241686.0455422,99241686.0455422,0.9
Batman Forever (1995),1999-12-01,42,3,88025315.4729921,88025315.4729921,0.1
Toy Story 2 (1999),1999-12-01,42,4,86405560.7474644,0,1
Austin Powers: The Spy Who Shagged Me (1999),1999-12-01,42,5,84079513.3818795,84079513.3818795,0.9
Batman (1989),1999-12-01,42,6,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1999-12-01,42,7,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1999-12-01,42,8,82825878.6039085,82825878.6039085,0
Independence Day (1996),1999-12-01,42,9,80235152.9797109,80235152.9797109,0.4
Men in Black (1997),1999-12-01,42,10,80215980.8488257,80215980.8488257,0.6
Mission: Impossible (1996),1999-12-01,42,11,73692913.0238673,73692913.0238673,0.3
The Lion King (1994),1999-12-01,42,12,70261343.6694523,70261343.6694523,0
The Lost World: Jurassic Park (1997),2000-06-01,43,1,114434475.918727,114434475.918727,0.4
Star Wars: Episode I - The Phantom Menace (1999),2000-06-01,43,2,99241686.0455422,99241686.0455422,0.8
Batman Forever (1995),2000-06-01,43,3,88025315.4729921,88025315.4729921,0
Toy Story 2 (1999),2000-06-01,43,4,86405560.7474644,86405560.7474644,0.9
Mission: Impossible II (2000),2000-06-01,43,5,85373208.7221603,0,1
Austin Powers: The Spy Who Shagged Me (1999),2000-06-01,43,6,84079513.3818795,84079513.3818795,0.8
Batman (1989),2000-06-01,43,7,82920128.6575987,82920128.6575987,0
